윈담 이스테이트 죠지 윈담 쉬라즈,Wyndham Estate George Wyndham Shiraz,레드,14.5,16~18℃,63000,1,None,5,None,
제이콥스 크릭 까베르네 메를로,Jacob's Creek Cabernet Merlot,레드,None,16~18℃,22000,1,None,3,None,
제이콥스 크릭 쉬라즈 까베르네,Jacob's Creek Shiraz Cabernet,레드,None,16~18℃,26000,2,3,4,3,
제이콥스 크릭 리저브 쉬라즈,Jacob's Creek Reserve Shiraz,레드,None,17~19℃,51000,2,None,4,None,
제이콥스 크릭 리저브 까베르네 소비뇽,Jacob's Creek Reserve Cabernet Sauvignon,레드,None,None,51000,1,None,4,None,
제이콥스 크릭 센테너리 힐 쉬라즈,Jacob's Creek Centenary Hill Shiraz,레드,None,None,96000,None,None,None,None,
에밀리아나 안데스 피크 소비뇽 블랑,Emiliana Andes Peaks Sauvignon Blanc,화이트,None,None,40000,1,None,3,1,
에밀리아나 안데스 피크 메를로,Emiliana Andes Peaks Merlot,레드,None,None,40000,1,None,3,None,
에밀리아나 안데스 피크 까베르네 쇼비뇽,Emiliana Andes Peaks Cabernet Sauvignon,레드,None,None,40000,1,None,3,None,
에밀리아나 까르미네르,Emiliana Carmenere,레드,None,None,17000,None,None,None,None,
